commit	md_qps	static_qps	memory_gb	forces_pass	status	description
c45dbcd	5.18	0.0	21.4	yes	keep	baseline
ecf143b	3.86	0.0	21.2	yes	discard	increase num_warps 1->4 (fwd), 1->8 (bwd_dx)
46ee374	3.98	0.0	21.2	yes	discard	edge_degree_scatter broadcast multiply instead of fancy_idx+bmm
6f89fb0	3.93	0.0	21.2	yes	discard	GRID_E_STRIDE=4096
866c1f5	3.94	0.0	21.2	yes	discard	GRID_E_STRIDE=1024
31611ac	3.88	0.0	21.2	yes	discard	eliminate x_l side buffer (recompute in backward)
dd9d81c	5.21	0.0	21.4	yes	keep	BLOCK_C=256
dd9b5a4	5.38	0.0	21.5	yes	keep	avoid full M->L permute copy in bwd grad_wigner
66902dc	5.69	0.0	19.7	yes	keep	eliminate x_edge side buffer (recompute in bwd)
f16ef94	5.60	0.0	19.7	yes	discard	also eliminate x_l side buffer (slight regression)
0ede078	5.52	0.0	20.9	yes	discard	split src/tgt BMMs to avoid cat (more kernel launches)
f7f1919	5.63	0.0	19.7	yes	discard	eliminate x_l via kernel-level M->L permutation (slight regression)
7c0b02d	5.65	0.0	19.7	yes	discard	BLOCK_C=512 (slightly worse than 256)
